food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Alcohol liking,T2D,-0.525352121,Alcohol liking_T2DP,4.91E-07,Alcohol,Alcohol/Beverage,<0.0001,<0.0001
Beer liking,T2D,-0.292286789,Beer liking_T2DP,0.001071537,Beer,Alcohol/Beverage,<0.01,<0.01
Diet fizzy drinks liking,T2D,0.691497122,Diet fizzy drinks liking_T2DP,5.09E-36,diet fizzy drinks,Alcohol/Beverage,<0.0001,<0.0001
Lager liking,T2D,-0.21743303,Lager liking_T2DP,0.002014304,lager,Alcohol/Beverage,<0.01,<0.01
Red wine liking,T2D,-0.404182506,Red wine liking_T2DP,2.68E-14,red wine,Alcohol/Beverage,<0.0001,<0.0001
Spirits liking,T2D,-0.153527592,Spirits liking_T2DP,0.006131238,spirits,Alcohol/Beverage,<0.01,<0.01
Total coffee/alcohol liking,T2D,-0.669020882,Total coffee/alcohol liking_T2DP,2.48E-05,Total coffee/alcohol,Alcohol/Beverage,<0.0001,<0.0001
Total sodas liking,T2D,0.500356161,Total sodas liking_T2DP,3.07E-05,Total sodas,Alcohol/Beverage,<0.0001,<0.0001
Total strong alcohol liking,T2D,-0.095893985,Total strong alcohol liking_T2DP,0.108589873,Total strong alcohol,Alcohol/Beverage,>0.05,>0.05
Total wine liking,T2D,-0.563576856,Total wine liking_T2DP,9.71E-17,Total wine,Alcohol/Beverage,<0.0001,<0.0001
White wine liking,T2D,-0.473625216,White wine liking_T2DP,9.73E-15,white wine,Alcohol/Beverage,<0.0001,<0.0001
Alcohol liking,Stroke,-0.647788405,Alcohol liking_StrokeP,0.006296189,Alcohol,Alcohol/Beverage,<0.01,<0.01
Beer liking,Stroke,-0.337982723,Beer liking_StrokeP,0.080555237,Beer,Alcohol/Beverage,>0.05,>0.05
Diet fizzy drinks liking,Stroke,0.117924623,Diet fizzy drinks liking_StrokeP,0.963241916,diet fizzy drinks,Alcohol/Beverage,>0.05,>0.05
Lager liking,Stroke,-0.285003945,Lager liking_StrokeP,0.071833171,lager,Alcohol/Beverage,>0.05,>0.05
Red wine liking,Stroke,-0.240619115,Red wine liking_StrokeP,0.035232362,red wine,Alcohol/Beverage,<0.05,<0.05
Spirits liking,Stroke,-0.548146911,Spirits liking_StrokeP,4.18E-06,spirits,Alcohol/Beverage,<0.0001,<0.0001
Total coffee/alcohol liking,Stroke,-0.925283463,Total coffee/alcohol liking_StrokeP,0.006296189,Total coffee/alcohol,Alcohol/Beverage,<0.01,<0.01
Total sodas liking,Stroke,0.096213404,Total sodas liking_StrokeP,0.963241916,Total sodas,Alcohol/Beverage,>0.05,>0.05
Total strong alcohol liking,Stroke,-0.387485064,Total strong alcohol liking_StrokeP,0.004602161,Total strong alcohol,Alcohol/Beverage,<0.01,<0.01
Total wine liking,Stroke,-0.42974843,Total wine liking_StrokeP,0.00370084,Total wine,Alcohol/Beverage,<0.01,<0.01
White wine liking,Stroke,-0.388975536,White wine liking_StrokeP,0.005035531,white wine,Alcohol/Beverage,<0.01,<0.01
Alcohol liking,MI,-0.667555778,Alcohol liking_MIP,7.02E-06,Alcohol,Alcohol/Beverage,<0.0001,<0.0001
Beer liking,MI,-0.350552467,Beer liking_MIP,0.00411052,Beer,Alcohol/Beverage,<0.01,<0.01
Diet fizzy drinks liking,MI,0.314251084,Diet fizzy drinks liking_MIP,0.007719879,diet fizzy drinks,Alcohol/Beverage,<0.01,<0.01
Lager liking,MI,-0.114249314,Lager liking_MIP,0.259044053,lager,Alcohol/Beverage,>0.05,>0.05
Red wine liking,MI,-0.29767733,Red wine liking_MIP,0.000120991,red wine,Alcohol/Beverage,<0.001,<0.001
Spirits liking,MI,-0.226204183,Spirits liking_MIP,0.005993278,spirits,Alcohol/Beverage,<0.01,<0.01
Total coffee/alcohol liking,MI,-0.970173782,Total coffee/alcohol liking_MIP,1.00E-05,Total coffee/alcohol,Alcohol/Beverage,<0.0001,<0.0001
Total sodas liking,MI,0.432250984,Total sodas liking_MIP,0.039522147,Total sodas,Alcohol/Beverage,<0.05,<0.05
Total strong alcohol liking,MI,-0.143993945,Total strong alcohol liking_MIP,0.103381528,Total strong alcohol,Alcohol/Beverage,>0.05,>0.05
Total wine liking,MI,-0.488451216,Total wine liking_MIP,2.45E-07,Total wine,Alcohol/Beverage,<0.0001,<0.0001
White wine liking,MI,-0.468428517,White wine liking_MIP,8.42E-08,white wine,Alcohol/Beverage,<0.0001,<0.0001
Alcohol liking,IHD,-0.40929983,Alcohol liking_IHDP,2.56E-05,Alcohol,Alcohol/Beverage,<0.0001,<0.0001
Beer liking,IHD,-0.320667904,Beer liking_IHDP,6.98E-05,Beer,Alcohol/Beverage,<0.0001,<0.0001
Diet fizzy drinks liking,IHD,0.230387486,Diet fizzy drinks liking_IHDP,0.00090611,diet fizzy drinks,Alcohol/Beverage,<0.001,<0.001
Lager liking,IHD,-0.211149024,Lager liking_IHDP,0.000775338,lager,Alcohol/Beverage,<0.001,<0.001
Red wine liking,IHD,-0.266923941,Red wine liking_IHDP,1.20E-08,red wine,Alcohol/Beverage,<0.0001,<0.0001
Spirits liking,IHD,-0.17104246,Spirits liking_IHDP,0.000780043,spirits,Alcohol/Beverage,<0.001,<0.001
Total coffee/alcohol liking,IHD,-0.390006059,Total coffee/alcohol liking_IHDP,0.012561592,Total coffee/alcohol,Alcohol/Beverage,<0.05,<0.05
Total sodas liking,IHD,0.19321477,Total sodas liking_IHDP,0.226818932,Total sodas,Alcohol/Beverage,>0.05,>0.05
Total strong alcohol liking,IHD,-0.073177901,Total strong alcohol liking_IHDP,0.197504048,Total strong alcohol,Alcohol/Beverage,>0.05,>0.05
Total wine liking,IHD,-0.410312286,Total wine liking_IHDP,3.18E-12,Total wine,Alcohol/Beverage,<0.0001,<0.0001
White wine liking,IHD,-0.37348849,White wine liking_IHDP,2.07E-12,white wine,Alcohol/Beverage,<0.0001,<0.0001
Alcohol liking,HF,-0.521267818,Alcohol liking_HFP,0.009753896,Alcohol,Alcohol/Beverage,<0.01,<0.01
Beer liking,HF,-0.251762048,Beer liking_HFP,0.121293392,Beer,Alcohol/Beverage,>0.05,>0.05
Diet fizzy drinks liking,HF,0.387459364,Diet fizzy drinks liking_HFP,0.001903403,diet fizzy drinks,Alcohol/Beverage,<0.01,<0.01
Lager liking,HF,-0.150532768,Lager liking_HFP,0.250105662,lager,Alcohol/Beverage,>0.05,>0.05
Red wine liking,HF,-0.274995098,Red wine liking_HFP,0.009753896,red wine,Alcohol/Beverage,<0.01,<0.01
Spirits liking,HF,-0.215808458,Spirits liking_HFP,0.044289142,spirits,Alcohol/Beverage,<0.05,<0.05
Total coffee/alcohol liking,HF,-0.76706644,Total coffee/alcohol liking_HFP,0.009753896,Total coffee/alcohol,Alcohol/Beverage,<0.01,<0.01
Total sodas liking,HF,0.457645489,Total sodas liking_HFP,0.086582639,Total sodas,Alcohol/Beverage,>0.05,>0.05
Total strong alcohol liking,HF,-0.212167541,Total strong alcohol liking_HFP,0.055018778,Total strong alcohol,Alcohol/Beverage,>0.05,>0.05
Total wine liking,HF,-0.288328275,Total wine liking_HFP,0.030479028,Total wine,Alcohol/Beverage,<0.05,<0.05
White wine liking,HF,-0.276404797,White wine liking_HFP,0.019486343,white wine,Alcohol/Beverage,<0.05,<0.05
Alcohol liking,CVD,-0.439907679,Alcohol liking_CVDP,5.15E-07,Alcohol,Alcohol/Beverage,<0.0001,<0.0001
Beer liking,CVD,-0.318274531,Beer liking_CVDP,1.20E-05,Beer,Alcohol/Beverage,<0.0001,<0.0001
Diet fizzy drinks liking,CVD,0.222738684,Diet fizzy drinks liking_CVDP,0.000509169,diet fizzy drinks,Alcohol/Beverage,<0.001,<0.001
Lager liking,CVD,-0.193487903,Lager liking_CVDP,0.000754622,lager,Alcohol/Beverage,<0.001,<0.001
Red wine liking,CVD,-0.25481064,Red wine liking_CVDP,3.01E-09,red wine,Alcohol/Beverage,<0.0001,<0.0001
Spirits liking,CVD,-0.223594784,Spirits liking_CVDP,6.93E-07,spirits,Alcohol/Beverage,<0.0001,<0.0001
Total coffee/alcohol liking,CVD,-0.522741925,Total coffee/alcohol liking_CVDP,0.00012179,Total coffee/alcohol,Alcohol/Beverage,<0.001,<0.001
Total sodas liking,CVD,0.204550673,Total sodas liking_CVDP,0.142319697,Total sodas,Alcohol/Beverage,>0.05,>0.05
Total strong alcohol liking,CVD,-0.12520219,Total strong alcohol liking_CVDP,0.009885197,Total strong alcohol,Alcohol/Beverage,<0.01,<0.01
Total wine liking,CVD,-0.406346973,Total wine liking_CVDP,7.60E-14,Total wine,Alcohol/Beverage,<0.0001,<0.0001
White wine liking,CVD,-0.356900211,White wine liking_CVDP,3.95E-13,white wine,Alcohol/Beverage,<0.0001,<0.0001
Coffee with sugar liking,T2D,-0.067444545,Coffee with sugar liking_T2DP,0.23386752,coffee with sugar,Coffee/Tea,>0.05,>0.05
Coffee without sugar liking,T2D,-0.10414044,Coffee without sugar liking_T2DP,0.022791503,coffee without sugar ,Coffee/Tea,<0.05,<0.05
Tea with sugar liking,T2D,-0.047876999,Tea with sugar liking_T2DP,0.453793674,tea with sugar,Coffee/Tea,>0.05,>0.05
Tea without sugar liking,T2D,-0.110351047,Tea without sugar liking_T2DP,0.012326647,tea without sugar,Coffee/Tea,<0.05,<0.05
