food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Lemon liking,HF,-0.277327959,Lemon liking_HFP,0.068565376,lemons,Fruit,>0.05,>0.05
Orange juice liking,HF,0.065365127,Orange juice liking_HFP,0.932761307,orange juice,Fruit,>0.05,>0.05
Apple juice liking,CVD,-0.047005175,Apple juice liking_CVDP,0.455877295,apple juice,Fruit,>0.05,>0.05
Apples liking,CVD,-0.412631608,Apples liking_CVDP,0.000344441,apples,Fruit,<0.001,<0.001
Avocado liking,CVD,-0.226645028,Avocado liking_CVDP,5.04E-07,avocados,Fruit,<0.0001,<0.0001
Banana liking,CVD,-0.019562751,Banana liking_CVDP,0.821056475,bananas,Fruit,>0.05,>0.05
Cherry liking,CVD,-0.127120971,Cherry liking_CVDP,0.149579807,cherries,Fruit,>0.05,>0.05
Dried fruit liking,CVD,-0.162522559,Dried fruit liking_CVDP,0.051950364,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,CVD,-0.628019727,Grapefruit liking_CVDP,6.17E-59,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,CVD,-0.201705522,Kiwi liking_CVDP,0.002251086,kiwi fruit,Fruit,<0.01,<0.01
Lemon liking,CVD,-0.186954652,Lemon liking_CVDP,0.013604382,lemons,Fruit,<0.05,<0.05
Orange juice liking,CVD,-0.058069598,Orange juice liking_CVDP,0.411373465,orange juice,Fruit,>0.05,>0.05
Cereal bar liking,T2D,-0.214250094,Cereal bar liking_T2DP,0.00333987,cereal/granola bar,Grain,<0.01,<0.01
Croissant liking,T2D,-0.093328042,Croissant liking_T2DP,0.235501999,croissant,Grain,>0.05,>0.05
Pasta liking,T2D,-0.591098169,Pasta liking_T2DP,1.52E-12,pasta,Grain,<0.0001,<0.0001
Porridge liking,T2D,-0.151922746,Porridge liking_T2DP,0.019912538,porridge,Grain,<0.05,<0.05
Total carbohydrate liking,T2D,-0.439885665,Total carbohydrate liking_T2DP,0.030099472,Total carbohydrate,Grain,<0.05,<0.05
Total whole food liking,T2D,-0.536170459,Total whole food liking_T2DP,0.002320957,Total whole food,Grain,<0.01,<0.01
wholemeal bread liking,T2D,-0.255900996,wholemeal bread liking_T2DP,0.035399838,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,Stroke,-0.173409671,Cereal bar liking_StrokeP,0.258666412,cereal/granola bar,Grain,>0.05,>0.05
Croissant liking,Stroke,-0.288244016,Croissant liking_StrokeP,0.066724593,croissant,Grain,>0.05,>0.05
Pasta liking,Stroke,-0.490928424,Pasta liking_StrokeP,0.006296189,pasta,Grain,<0.01,<0.01
Porridge liking,Stroke,-0.103273359,Porridge liking_StrokeP,0.467517907,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,Stroke,-0.684353705,Total carbohydrate liking_StrokeP,0.117590503,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,Stroke,-0.460272229,Total whole food liking_StrokeP,0.239519965,Total whole food,Grain,>0.05,>0.05
wholemeal bread liking,Stroke,-0.569971025,wholemeal bread liking_StrokeP,0.018074627,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,MI,-0.145434177,Cereal bar liking_MIP,0.194402798,cereal/granola bar,Grain,>0.05,>0.05
Croissant liking,MI,-0.141748201,Croissant liking_MIP,0.244770387,croissant,Grain,>0.05,>0.05
Pasta liking,MI,-0.197748511,Pasta liking_MIP,0.140490108,pasta,Grain,>0.05,>0.05
Porridge liking,MI,0.029128248,Porridge liking_MIP,0.903313156,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,MI,0.276567015,Total carbohydrate liking_MIP,0.903313156,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,MI,0.136143502,Total whole food liking_MIP,0.903313156,Total whole food,Grain,>0.05,>0.05
wholemeal bread liking,MI,-0.117335988,wholemeal bread liking_MIP,0.578419122,wholemeal bread,Grain,>0.05,>0.05
Cereal bar liking,IHD,-0.102919125,Cereal bar liking_IHDP,0.152968292,cereal/granola bar,Grain,>0.05,>0.05
Croissant liking,IHD,-0.169394498,Croissant liking_IHDP,0.014379967,croissant,Grain,<0.05,<0.05
Pasta liking,IHD,-0.168292776,Pasta liking_IHDP,0.06022191,pasta,Grain,>0.05,>0.05
Porridge liking,IHD,-0.042354257,Porridge liking_IHDP,0.529844323,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,IHD,0.34036109,Total carbohydrate liking_IHDP,0.366595602,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,IHD,-0.30265242,Total whole food liking_IHDP,0.106141967,Total whole food,Grain,>0.05,>0.05
wholemeal bread liking,IHD,-0.274740003,wholemeal bread liking_IHDP,0.021406584,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,HF,-0.275650761,Cereal bar liking_HFP,0.042406962,cereal/granola bar,Grain,<0.05,<0.05
Croissant liking,HF,-0.254881095,Croissant liking_HFP,0.05852224,croissant,Grain,>0.05,>0.05
Pasta liking,HF,-0.149207694,Pasta liking_HFP,0.407050537,pasta,Grain,>0.05,>0.05
Porridge liking,HF,-0.12176116,Porridge liking_HFP,0.364018331,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,HF,-0.08671415,Total carbohydrate liking_HFP,0.861440216,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,HF,-0.435099085,Total whole food liking_HFP,0.215864575,Total whole food,Grain,>0.05,>0.05
wholemeal bread liking,HF,-0.461740565,wholemeal bread liking_HFP,0.040909693,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,CVD,-0.098789945,Cereal bar liking_CVDP,0.127452684,cereal/granola bar,Grain,>0.05,>0.05
Croissant liking,CVD,-0.19020059,Croissant liking_CVDP,0.002168813,croissant,Grain,<0.01,<0.01
Pasta liking,CVD,-0.192345214,Pasta liking_CVDP,0.013604382,pasta,Grain,<0.05,<0.05
Porridge liking,CVD,-0.060325937,Porridge liking_CVDP,0.295073891,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,CVD,0.21283545,Total carbohydrate liking_CVDP,0.648221879,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,CVD,-0.344827163,Total whole food liking_CVDP,0.03254491,Total whole food,Grain,<0.05,<0.05
wholemeal bread liking,CVD,-0.287525503,wholemeal bread liking_CVDP,0.007399895,wholemeal bread,Grain,<0.01,<0.01
Bacon liking,T2D,0.241814553,Bacon liking_T2DP,0.002118327,bacon,Processed products,<0.01,<0.01
BBQ/grilled meat liking,T2D,0.201135283,BBQ/grilled meat liking_T2DP,0.006275151,barbequed or grilled meat,Processed products,<0.01,<0.01
Burger liking,T2D,0.293861077,Burger liking_T2DP,9.22E-05,burgers (meat),Processed products,<0.0001,<0.0001
Chips liking,T2D,0.014748726,Chips liking_T2DP,0.925284858,chips/french fries,Processed products,>0.05,>0.05
Corn flake liking,T2D,0.129891122,Corn flake liking_T2DP,0.095281005,corn flakes,Processed products,>0.05,>0.05
Gherkins liking,T2D,-0.099885335,Gherkins liking_T2DP,0.072190932,gherkins,Processed products,>0.05,>0.05
Ham liking,T2D,0.270448199,Ham liking_T2DP,0.000858989,ham,Processed products,<0.001,<0.001
Pizza liking,T2D,-0.303674345,Pizza liking_T2DP,8.47E-05,pizza,Processed products,<0.0001,<0.0001
Sausages liking,T2D,0.18861816,Sausages liking_T2DP,0.014057881,sausages (meat),Processed products,<0.05,<0.05
Savoury biscuit liking,T2D,-0.169886007,Savoury biscuit liking_T2DP,0.122513232,savoury biscuits,Processed products,>0.05,>0.05
Smoked fish liking,T2D,-0.238383497,Smoked fish liking_T2DP,2.49E-05,smoked fish,Processed products,<0.0001,<0.0001
Tinned tuna liking,T2D,-0.142741789,Tinned tuna liking_T2DP,0.013195412,tinned tuna,Processed products,<0.05,<0.05
Bacon liking,Stroke,0.079645309,Bacon liking_StrokeP,0.963241916,bacon,Processed products,>0.05,>0.05
BBQ/grilled meat liking,Stroke,-0.065656502,BBQ/grilled meat liking_StrokeP,0.653068755,barbequed or grilled meat,Processed products,>0.05,>0.05
Burger liking,Stroke,0.048950772,Burger liking_StrokeP,0.963241916,burgers (meat),Processed products,>0.05,>0.05
Chips liking,Stroke,-0.35804159,Chips liking_StrokeP,0.117590503,chips/french fries,Processed products,>0.05,>0.05
Corn flake liking,Stroke,-0.033679455,Corn flake liking_StrokeP,0.841068817,corn flakes,Processed products,>0.05,>0.05
Gherkins liking,Stroke,-0.298662078,Gherkins liking_StrokeP,0.018092039,gherkins,Processed products,<0.05,<0.05
